"","sample","site","code","invasive_exposure","generation","maternal_line","block","shoot_mass","root_mass","height","leaf_count","leaf_width","tillers","fibrous_root_count","longest_fibrous_root","nonfibrous_root_count","longest_nonfibrous_root","trt","mat_line","root_length","total_mass","rmf","primary_root_count","sqrt_root_mass","sqrt_shoot_mass","asin_leaf_width","sqrt_total_mass"
"1",73,"Wyoming population 1","GB","yes","1st generation","M6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY1 GB in G1","M2",NA,NA,NA,NA,NA,NA,NA,NA
"2",74,"Wyoming population 1","GB","yes","1st generation","M6",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY1 GB in G1","M2",NA,NA,NA,NA,NA,NA,NA,NA
"3",75,"Wyoming population 1","GB","yes","1st generation","M6",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY1 GB in G1","M2",NA,NA,NA,NA,NA,NA,NA,NA
"4",76,"Wyoming population 1","GB","yes","1st generation","M6",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY1 GB in G1","M2",NA,NA,NA,NA,NA,NA,NA,NA
"5",77,"Wyoming population 1","GB","yes","1st generation","M6",5,0.013,0.0023,7.3,6,0.1,2,1,10.7,2,1.6,"WY1 GB in G1","M2",10.7,0.0153,0.150326797385621,3,0.0479583152331272,0.114017542509914,0.10016742116156,0.12369316876853
"6",78,"Wyoming population 1","GB","yes","1st generation","M6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY1 GB in G1","M2",NA,NA,NA,NA,NA,NA,NA,NA
"7",79,"Wyoming population 1","GB","yes","1st generation","M6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY1 GB in G1","M2",NA,NA,NA,NA,NA,NA,NA,NA
"8",80,"Wyoming population 1","GB","yes","1st generation","M6",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY1 GB in G1","M2",NA,NA,NA,NA,NA,NA,NA,NA
"9",81,"Wyoming population 1","GB","yes","1st generation","M6",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY1 GB in G1","M2",NA,NA,NA,NA,NA,NA,NA,NA
"10",82,"Wyoming population 1","GB","yes","1st generation","M6",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY1 GB in G1","M2",NA,NA,NA,NA,NA,NA,NA,NA
"11",83,"Wyoming population 1","GB","yes","1st generation","M6",5,0.0161,0.0059,6,11,0.1,3,1,9.5,3,10.2,"WY1 GB in G1","M2",10.2,0.022,0.268181818181818,4,0.0768114574786861,0.126885775404495,0.10016742116156,0.148323969741913
"12",84,"Wyoming population 1","GB","yes","1st generation","M6",6,0.04,0.0371,13.3,11,0.1,3,3,12.7,7,10.3,"WY1 GB in G1","M2",12.7,0.0771,0.481193255512322,10,0.192613602842582,0.2,0.10016742116156,0.277668867538296
"13",85,"Wyoming population 1","GB","yes","1st generation","M6",1,0.0092,0.0052,6,6,0.1,2,1,12.1,4,9.8,"WY1 GB in G1","M2",12.1,0.0144,0.361111111111111,5,0.0721110255092798,0.0959166304662544,0.10016742116156,0.12
"14",86,"Wyoming population 1","GB","yes","1st generation","M6",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY1 GB in G1","M2",NA,NA,NA,NA,NA,NA,NA,NA
"15",87,"Wyoming population 1","GB","yes","1st generation","M6",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY1 GB in G1","M2",NA,NA,NA,NA,NA,NA,NA,NA
"16",88,"Wyoming population 1","GB","yes","1st generation","M6",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY1 GB in G1","M2",NA,NA,NA,NA,NA,NA,NA,NA
"17",89,"Wyoming population 1","GB","yes","1st generation","M6",5,0.0393,0.0271,11.6,13,0.2,3,2,9.6,3,9,"WY1 GB in G1","M2",9.6,0.0664,0.408132530120482,5,0.164620776331543,0.19824227601599,0.201357920790331,0.257681974534503
"18",90,"Wyoming population 1","GB","yes","1st generation","M6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY1 GB in G1","M2",NA,NA,NA,NA,NA,NA,NA,NA
"19",91,"Wyoming population 1","GB","yes","1st generation","M6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WY1 GB in G1","M2",NA,NA,NA,NA,NA,NA,NA,NA
