"","No.","Study","Study_location","Target_species","Target_life_history","Target_functional_group","Study_type","study_unit","Water_trt","Comp_trt","Response_unit","mean","se","std","N","Cntrl_Mean","Cntrl_STD","Cntrl_N","notes","LRR","LRR_var"
"1",10,"Bartelheimer et al. 2010","England, UK","Senecio acquaticus","biennnial","dicot","Outdoor","mesocosm","Ambient","Shoot_Comp","Total_biomass",7.928571429,10.5,0.235294118,3,7.857142857,1.254901961,3,"",0.00904983559215375,0.00879650813014207
"2",11,"Bartelheimer et al. 2010","England, UK","Senecio acquaticus","biennnial","dicot","Outdoor","mesocosm","Ambient","Root_Comp","Total_biomass",5.642857143,7.5,0.784313725,3,7.857142857,1.254901961,3,"",-0.331032513281896,0.0149425589320679
"3",12,"Bartelheimer et al. 2010","England, UK","Senecio acquaticus","biennnial","dicot","Outdoor","mesocosm","Ambient","Full_Comp","Total_biomass",3,4.142857143,0.941176471,3,7.857142857,1.254901961,3,"",-0.962810747490866,0.0413108330131086
"4",2,"Bartelheimer et al. 2010","England, UK","Senecio acquaticus","biennnial","dicot","Outdoor","mesocosm","Stress","Shoot_Comp","Total_biomass",2.345971564,2.772511848,1.098039216,3,2.630331754,11.7532019,3,"",-0.114410351339033,6.72836204413913
"5",3,"Bartelheimer et al. 2010","England, UK","Senecio acquaticus","biennnial","dicot","Outdoor","mesocosm","Stress","Root_Comp","Total_biomass",1.137440758,1.208530806,1.803921569,3,2.630331754,11.7532019,3,"",-0.838329190832146,7.49374753187737
"6",4,"Bartelheimer et al. 2010","England, UK","Senecio acquaticus","biennnial","dicot","Outdoor","mesocosm","Stress","Full_Comp","Total_biomass",1.63507109,1.848341232,2.588235294,3,2.630331754,11.7532019,3,"",-0.47542369691343,7.49058073484815
"7",14,"Bartelheimer et al. 2010","England, UK","Senecio jacobea","biennnial","dicot","Outdoor","mesocosm","Ambient","Shoot_Comp","Total_biomass",2.357142857,3.285714286,0.235294118,3,2.928571429,1.254901961,3,"",-0.217064505444775,0.0645264317455919
"8",15,"Bartelheimer et al. 2010","England, UK","Senecio jacobea","biennnial","dicot","Outdoor","mesocosm","Ambient","Root_Comp","Total_biomass",1.357142857,2.142857143,0.784313725,3,2.928571429,1.254901961,3,"",-0.769133087789472,0.172533698769307
"9",16,"Bartelheimer et al. 2010","England, UK","Senecio jacobea","biennnial","dicot","Outdoor","mesocosm","Ambient","Full_Comp","Total_biomass",0.785714286,1.142857143,0.941176471,3,2.928571429,1.254901961,3,"",-1.31567679368864,0.539495266636308
"10",6,"Bartelheimer et al. 2010","England, UK","Senecio jacobea","biennnial","dicot","Outdoor","mesocosm","Stress","Shoot_Comp","Total_biomass",3.341232227,4.123222749,1.098039216,3,2.843601896,6.823529412,3,"",0.16126814735669,1.95537248593876
"11",7,"Bartelheimer et al. 2010","England, UK","Senecio jacobea","biennnial","dicot","Outdoor","mesocosm","Stress","Root_Comp","Total_biomass",2.843601896,4.478672986,1.803921569,3,2.843601896,6.823529412,3,"",0,2.05351820790106
