No.,Species,Accession,Source_Accession_Info,Collection_type,Block,Date_Planted,Date_Harvested,Age_at_harvest,Root_length_.cm.,Height_.mm.,No_of_leaves,Root_mass_.mg.,Shoot_mass_.mg.,No_of_Root_tips
1,Pseudoroegeria spicata,Whitmar,Whitmar,Cultivated,Two,4/24/2018,5/22/2018,28,12,8,1,14.4,5.5,47
2,Pseudoroegeria spicata,Goldar,Goldar-PI539873,Cultivated,Two,4/24/2018,5/22/2018,28,11.6,13.3,1,7.2,8,61
3,Pseudoroegeria spicata,W2,UT933-116,Wild,Six,4/27/2018,5/14/2018,17,11.7,8,1,4.4,5.4,79
4,Pseudoroegeria spicata,W3,UT933-118,Wild,Six,4/27/2018,5/24/2018,27,12.4,8,1,1.2,2.2,28
5,Pseudoroegeria spicata,W1,UT933-117,Wild,Six,4/27/2018,5/24/2018,27,12.5,7.3,1,5.7,7.3,65
6,Pseudoroegeria spicata,P7,P-7,Cultivated,Six,4/27/2018,5/24/2018,27,12.6,9.5,1,5.3,5.4,38
7,Pseudoroegeria spicata,Whitmar,Whitmar,Cultivated,Six,4/27/2018,5/24/2018,27,12.6,10.8,1,4.5,4.1,48
8,Pseudoroegeria spicata,W1,UT933-117,Wild,Seven,4/23/2018,5/16/2018,23,12.1,8.5,1,6.4,5.6,50
9,Pseudoroegeria spicata,P7,P-7,Cultivated,Ten,4/24/2018,5/17/2018,23,11.8,6.7,1,4.1,3.1,22
10,Pseudoroegeria spicata,W3,UT933-118,Wild,Ten,4/24/2018,5/18/2018,24,13.2,10.5,1,5,1.7,21
11,Pseudoroegeria spicata,Goldar,Goldar-PI539873,Cultivated,Twelve,4/25/2018,5/23/2018,28,13,8.7,1,4.2,8.4,33
12,Pseudoroegeria spicata,W1,UT933-117,Wild,One,4/19/2018,5/15/2018,26,14,9.3,2,6.8,8.5,82
13,Pseudoroegeria spicata,W1,UT933-117,Wild,One,4/19/2018,5/15/2018,26,13,11.5,2,6.5,10.8,40
14,Pseudoroegeria spicata,P7,P-7,Cultivated,One,4/19/2018,5/15/2018,26,11.5,11.8,2,5.7,6.1,26
15,Pseudoroegeria spicata,W2,UT933-116,Wild,One,4/19/2018,5/15/2018,26,12,13.5,2,3.5,8.4,72
16,Pseudoroegeria spicata,W2,UT933-116,Wild,One,4/19/2018,5/15/2018,26,13,14,2,7.9,18,83
17,Pseudoroegeria spicata,Goldar,Goldar-PI539873,Cultivated,Two,4/24/2018,5/22/2018,28,10.5,4.5,2,4.5,4.7,18
18,Pseudoroegeria spicata,W2,UT933-116,Wild,Two,4/24/2018,5/22/2018,28,14,13,2,8.3,11.5,85
19,Pseudoroegeria spicata,W2,UT933-116,Wild,Two,4/24/2018,5/22/2018,28,12.8,13,2,5,13.2,50
