No,Tube,Species,Accession,Soil type,Flat loc,Tray,Date planted,leaf lenght 7d,LR ,MR,Root tips,Notes
5,5,Bromus tectorum,RMC,Turface,D,one,11/4/2015,26.88,0,1,1,
27,27,Bromus tectorum,RMC,Turface,M15,two,11/4/2015,7.59,0,1,1,
29,29,Bromus tectorum,RMC,Turface,G17,one,11/4/2015,15.31,0,1,1,
43,43,Bromus tectorum,Johnson Creek,Turface,D15,one,11/4/2015,,0,1,1,
2,2,Bromus tectorum,RMC,Turface,C14,one,11/4/2015,,0,2,2,
11,11,Bromus tectorum,RMC,Turface,L04,two,11/4/2015,,0,2,2,
38,38,Bromus tectorum,Johnson Creek,Turface,L15,two,11/4/2015,7.01,0,2,2,
49,49,Bromus tectorum,Johnson Creek,Turface,B10,one,11/4/2015,,0,2,2,
137,137,Bromus tectorum,RMC,Sand,J16,one,11/4/2015,,0,2,2,
227,227,Bromus tectorum,RMC,Loam,D10,one,11/4/2015,91.67,0,2,2,
232,232,Bromus tectorum,RMC,Loam,I12,one,11/4/2015,87.56,0,2,2,
251,251,Bromus tectorum,Johnson Creek,Loam,P15,two,11/4/2015,7.43,1,1,2,
256,256,Bromus tectorum,Johnson Creek,Loam,N09,two,11/4/2015,14.5,0,2,2,
4,4,Bromus tectorum,RMC,Turface,L18,two,11/4/2015,15.17,1,2,3,
58,58,Bromus tectorum,Johnson Creek,Turface,O09,two,11/4/2015,20.63,2,1,3,
61,61,Bromus tectorum,Johnson Creek,Turface,N13,two,11/4/2015,38.1,2,1,3,
235,235,Bromus tectorum,RMC,Loam,L02,two,11/4/2015,69.62,2,1,3,
250,250,Bromus tectorum,Johnson Creek,Loam,C20,one,11/4/2015,81.95,1,2,3,
24,24,Bromus tectorum,RMC,Turface,D13,one,11/4/2015,22.68,2,2,4,
236,236,Bromus tectorum,RMC,Loam,G16,one,11/4/2015,81.25,2,2,4,
249,249,Bromus tectorum,Johnson Creek,Loam,N19,two,11/4/2015,44.88,3,1,4,
269,269,Bromus tectorum,Johnson Creek,Loam,C06,one,11/4/2015,,3,1,4,
6,6,Bromus tectorum,RMC,Turface,M12,two,11/4/2015,42.8,3,2,5,
32,32,Bromus tectorum,RMC,Turface,O16,two,11/4/2015,35.53,4,1,5,
64,64,Bromus tectorum,Johnson Creek,Turface,N04,two,11/4/2015,16.6,4,1,5,
229,229,Bromus tectorum,RMC,Loam,D06,one,11/4/2015,22.99,4,1,5,
3,3,Bromus tectorum,RMC,Turface,P08,two,11/4/2015,35.3,5,1,6,
19,19,Bromus tectorum,RMC,Turface,L13,two,11/4/2015,,4,2,6,
40,40,Bromus tectorum,Johnson Creek,Turface,A16,one,11/4/2015,21.8,4,2,6,
123,123,Bromus tectorum,RMC,Sand,K02,two,11/4/2015,49.45,4,2,6,2ndLR
213,213,Bromus tectorum,RMC,Loam,K14,two,11/4/2015,68.04,5,1,6,
255,255,Bromus tectorum,Johnson Creek,Loam,C12,one,11/4/2015,81.5,5,1,6,
267,267,Bromus tectorum,Johnson Creek,Loam,G03,one,11/4/2015,87.15,4,2,6,
237,237,Bromus tectorum,RMC,Loam,H12,one,11/4/2015,92.56,6,1,7,
243,243,Bromus tectorum,RMC,Loam,A20,one,11/4/2015,86.27,7,1,8,
166,166,Bromus tectorum,Johnson Creek,Sand,G12,one,11/4/2015,62.7,7,2,9,
253,253,Bromus tectorum,Johnson Creek,Loam,A05,one,11/4/2015,71.68,8,1,9,
264,264,Bromus tectorum,Johnson Creek,Loam,L08,two,11/4/2015,38.6,8,1,9,
47,47,Bromus tectorum,Johnson Creek,Turface,B02,one,11/4/2015,27.6,8,2,10,
60,60,Bromus tectorum,Johnson Creek,Turface,K07,two,11/4/2015,21.26,8,2,10,
259,259,Bromus tectorum,Johnson Creek,Loam,B20,one,11/4/2015,58.8,9,1,10,
152,152,Bromus tectorum,Johnson Creek,Sand,L14,two,11/4/2015,28.67,9,2,11,
242,242,Bromus tectorum,RMC,Loam,O14,two,11/4/2015,,9,2,11,
109,109,Bromus tectorum,RMC,Sand,K16,two,11/4/2015,,10,2,12,
159,159,Bromus tectorum,Johnson Creek,Sand,K19,two,11/4/2015,13.17,10,2,12,
241,241,Bromus tectorum,RMC,Loam,A18,one,11/4/2015,74.28,12,1,13,
150,150,Bromus tectorum,Johnson Creek,Sand,A11,one,11/4/2015,13.41,12,2,14,
247,247,Bromus tectorum,Johnson Creek,Loam,B07,one,11/4/2015,65.03,12,2,14,
248,248,Bromus tectorum,Johnson Creek,Loam,F18,one,11/4/2015,104.22,13,1,14,
106,106,Bromus tectorum,RMC,Sand,M01,two,11/4/2015,58.46,14,1,15,
127,127,Bromus tectorum,RMC,Sand,J05,one,11/4/2015,67.87,12,3,15,2ndLR
161,161,Bromus tectorum,Johnson Creek,Sand,K01,two,11/4/2015,54.89,13,2,15,2ndLR
125,125,Bromus tectorum,RMC,Sand,P11,two,11/4/2015,64.62,16,1,17,
167,167,Bromus tectorum,Johnson Creek,Sand,O04,two,11/4/2015,42.16,15,2,17,
174,174,Bromus tectorum,Johnson Creek,Sand,B16,one,11/4/2015,32.27,16,1,17,
107,107,Bromus tectorum,RMC,Sand,F02,one,11/4/2015,,14,4,18,
59,59,Bromus tectorum,Johnson Creek,Turface,I04,one,11/4/2015,,18,1,19,
122,122,Bromus tectorum,RMC,Sand,M07,two,11/4/2015,66.62,16,3,19,
