No,Focal_Species,Non-focal_plant,Treatment,Exp,No_of_Root_Tips,Total_Mass_Exp_1,Root_Mass_Exp_1,Shoot_Mass_Exp_1,Plant_Height(mm)_Exp_1,RMF_Exp_1,Community_Rhizome_Exp_2,Notes,All_Focal_Shoot_Mass,focal_leaf_count,nf_leaf_count_1,nf_leaf_count_2
1,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,,0.0496,0.0067,0.0429,,0.135080645,,,0.0429,,,
2,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,61,0.0332,0.0046,0.0286,170,0.138554217,,,0.0286,3,,
3,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,102,0.0453,0.0079,0.0374,207,0.174392936,,,0.0374,3,,
4,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,8,0.0101,0.0018,0.0083,119.6,0.178217822,,,0.0083,2,,
5,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,97,0.0509,0.0112,0.0397,265,0.220039293,,,0.0397,3,,
6,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,,0.0329,0.0075,0.0254,,0.227963526,,,0.0254,,,
7,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,68,0.0286,0.0066,0.022,,0.230769231,,,0.022,2,,
8,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,46,0.018,0.0042,0.0138,108,0.233333333,,,0.0138,3,,
9,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,56,0.0229,0.0054,0.0175,,0.23580786,,,0.0175,2,,
10,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,29,0.018,0.0044,0.0136,,0.244444444,,,0.0136,3,,
11,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,76,0.0429,0.0106,0.0323,,0.247086247,,,0.0323,3,,
12,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,46,,,,,,,,,2,,
13,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,47,0.0201,0.0055,0.0146,170,0.273631841,,,0.0146,3,,
14,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,102,0.0137,0.0083,0.0054,241,0.605839416,,,0.0054,3,,
15,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,36,0,,,126,,,,,2,,
16,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,48,0,,,221.8,,,,,2,,
17,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,43,0,,,161.7,,,,,2,,
18,Pascopyrum smithii,Bromus tectorum,PASM + 2 BRTE,One,,,,,164.4,,,,,,,
19,Pascopyrum smithii,Pascopyrum smithii,PASM + 2 PASM,One,64,0.013,0.003,0.01,137,0.230769231,,,0.01,2,,
20,Pascopyrum smithii,Pascopyrum smithii,PASM + 2 PASM,One,39,0.0161,0.004,0.0121,125.8,0.248447205,,,0.0121,3,,
21,Pascopyrum smithii,Pascopyrum smithii,PASM + 2 PASM,One,46,0.0177,0.0046,0.0131,111.5,0.259887006,,,0.0131,2,,
22,Pascopyrum smithii,Pascopyrum smithii,PASM + 2 PASM,One,83,0.0206,0.0064,0.0142,195,0.310679612,,,0.0142,2,,
23,Pascopyrum smithii,Pascopyrum smithii,PASM + 2 PASM,One,52,0.0158,0.0051,0.0107,108.9,0.32278481,,,0.0107,3,,
24,Pascopyrum smithii,Pascopyrum smithii,PASM + 2 PASM,One,50,0.019,0.0063,0.0127,138,0.331578947,,,0.0127,3,,
25,Pascopyrum smithii,Pascopyrum smithii,PASM + 2 PASM,One,131,0.0218,0.0081,0.0137,143.2,0.371559633,,,0.0137,3,,
26,Pascopyrum smithii,Pascopyrum smithii,PASM + 2 PASM,One,89,0.0227,0.0086,0.0141,134.5,0.378854626,,,0.0141,2,,
27,Pascopyrum smithii,Pascopyrum smithii,PASM + 2 PASM,One,12,0.0056,0.0023,0.0033,45.7,0.410714286,,,0.0033,3,,
28,Pascopyrum smithii,Pascopyrum smithii,PASM + 2 PASM,One,50,0.0116,0.0052,0.0064,94.2,0.448275862,,,0.0064,2,,
29,Pascopyrum smithii,Pascopyrum smithii,PASM + 2 PASM,One,,0.0088,0.004,0.0048,83,0.454545455,,,0.0048,,,
30,Pascopyrum smithii,Pascopyrum smithii,PASM + 2 PASM,One,40,0.0033,0.0015,0.0018,132,0.454545455,,,0.0018,2,,
31,Pascopyrum smithii,Pascopyrum smithii,PASM + 2 PASM,One,38,,,,,,,,,3,,
32,Pascopyrum smithii,none,PASM.Control.exp.one,One,58,0.0196,0.0046,0.015,168,0.234693878,,,0.015,1,,
33,Pascopyrum smithii,none,PASM.Control.exp.one,One,52,0.0203,0.0056,0.0147,112.5,0.275862069,,,0.0147,3,,
34,Pascopyrum smithii,none,PASM.Control.exp.one,One,54,0.0193,0.0056,0.0137,129.4,0.29015544,,,0.0137,2,,
35,Pascopyrum smithii,none,PASM.Control.exp.one,One,88,0.0203,0.0062,0.0141,124.4,0.305418719,,,0.0141,3,,
36,Pascopyrum smithii,none,PASM.Control.exp.one,One,34,0.0109,0.0035,0.0074,117.1,0.321100917,,,0.0074,2,,
