No,Tube_No,Species_one,Species_two,Block,Location,Treatment,Planting_date,Surv_final,sp1_Abovgd_mass,Community_root_mass,sp1_Total_Mass,Comm_RMF,No_of_Plants,"Control, Intra, Inter",Species_two,sp2_Abovgd_mass,sp2_Total_Mass
11,20,Achillea millefolium,sp1,one,A20,Monoculture,7/27/2016,0,,,,0.403385049,2,Intra,Achillea millefolium,0.0423,0.0709
18,38,Linum perenne,sp1,one,C18,Monoculture,7/27/2016,0,,,,0.609250399,2,Intra,Linum perenne,0.0245,0.0627
542,123,Linum lewisii,sp1,two,C03,Forb_comp,9/8/2016,0,,,,0.464088398,2,Inter,Helianthus annuus,0.0291,0.0543
59,153,Linum lewisii,sp1,two,E13,Monoculture,7/27/2016,0,,,,0.676211454,2,Intra,Linum lewisii,0.0294,0.0908
470,166,Linum perenne,sp1,two,G06,Forb_comp,8/31/2016,0,,,,0.253384913,2,Inter,Helianthus annuus,0.0772,0.1034
64,169,Linum lewisii,sp1,two,G09,Monoculture,7/27/2016,0,,,,0.44,2,Intra,Linum lewisii,0.0042,0.0075
472,170,Poa secunda,sp1,two,G10,Forb_comp,8/31/2016,0,,,,0.325056433,2,Inter,Helianthus annuus,0.0299,0.0443
70,190,Sporobolus airoides,sp1,two,I10,Monoculture,7/27/2016,0,,,,0.472580645,2,Intra,Sporobolus airoides,0.0981,0.186
475,191,Poa secunda,sp1,two,I11,Forb_comp,8/31/2016,0,,,,0.489795918,2,Inter,Helianthus annuus,0.0575,0.1127
382,215,Achillea millefolium,sp1,three,A15,Grass_comp,8/11/2016,0,,,,0.391623037,2,Inter,Pascopyrum smithii,0.0581,0.0955
385,216,Poa secunda,sp1,three,A16,Grass_comp,8/11/2016,0,,,,0.307692308,2,Inter,Pascopyrum smithii,0.0324,0.0468
452,235,Helianthus annuus,sp1,three,C15,Monoculture,8/25/2016,0,,,,0.377701934,2,Intra,Helianthus annuus,0.0547,0.0879
546,251,Linum lewisii,sp1,three,E11,Forb_comp,9/8/2016,0,,,,0.332307692,2,Inter,Helianthus annuus,0.0217,0.0325
548,255,Linum lewisii,sp1,three,E15,Forb_comp,9/8/2016,0,,,,0.477477477,2,Inter,Helianthus annuus,0.0232,0.0444
89,265,Achillea millefolium,sp1,three,G05,Monoculture,7/27/2016,0,,,,0.48272957,2,Intra,Achillea millefolium,0.0614,0.1187
91,267,Linum perenne,sp1,three,G07,Monoculture,7/27/2016,0,,,,0.705073996,2,Intra,Linum perenne,0.0279,0.0946
99,282,Sporobolus airoides,sp1,three,I02,Monoculture,7/27/2016,0,,,,0.454022989,2,Intra,Sporobolus airoides,0.0855,0.1566
289,287,Elymus trachycaulus,sp1,three,I07,Monoculture,8/10/2016,0,,,,0.627418463,2,Intra,Elymus trachycaulus,0.0674,0.1809
