,no_sd,focal_species,treatment_level,yes_n,no_n,organ,no_mean,treatment,invasive_species,interaction_type,yes_sd,yes_mean,study_id,native_functional_group,invasive_functional_group,latitude,longitude,collection_year
1,0.041632887,Sporobolus airoides,2nd generation,108,108,RMF,0.312985613,generation,Rhaponticum repens,control_alone,0.032187871,0.370008869,Foxx et al. 2022,grass,non-leguminous forb,44.4891,108.0562,2004
2,0.016758446,Artemisia crithmifolia,none,6,6,RMF,0.295413511,none,Carpobrotus edulis,control_alone,0.028737219,0.305729512,Garcia et al. 2021,non-leguminous forb,non-leguminous forb,41.8732,8.8378,2015
3,0.02408213,Artemisia crithmifolia,none,6,6,RMF,0.269355752,none,Carpobrotus edulis,interaction,0.034072599,0.282974088,Garcia et al. 2021,non-leguminous forb,non-leguminous forb,41.8732,8.8378,2015
4,0.019373614,Helichrysum picardii,none,6,6,RMF,0.214480177,none,Carpobrotus edulis,control_alone,0.021040729,0.212709244,Garcia et al. 2021,non-leguminous forb,non-leguminous forb,41.8732,8.8378,2015
5,0.017602869,Helichrysum picardii,none,6,6,RMF,0.24411459,none,Carpobrotus edulis,interaction,0.026026159,0.249271189,Garcia et al. 2021,non-leguminous forb,non-leguminous forb,41.8732,8.8378,2015
6,0.06208606,Pseudoroegneria spicata,BLK_yes_BLP_no,10,10,RMF,0.510745701,population,Centaurea stoebe,control_alone,0.111694203,0.564896699,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
7,0.045862841,Pseudoroegneria spicata,BLK_yes_HP_no,10,10,RMF,0.626666049,population,Centaurea stoebe,control_alone,0.111694203,0.564896699,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
8,0.048122269,Pseudoroegneria spicata,BLK_yes_LHP_no,10,10,RMF,0.67949229,population,Centaurea stoebe,control_alone,0.111694203,0.564896699,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
9,0.084166761,Pseudoroegneria spicata,BLK_yes_LHP#1_no,10,10,RMF,0.562832886,population,Centaurea stoebe,control_alone,0.111694203,0.564896699,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
10,0.059174849,Pseudoroegneria spicata,BLK_yes_MCLP_no,10,10,RMF,0.629703195,population,Centaurea stoebe,control_alone,0.111694203,0.564896699,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
11,0.071333855,Pseudoroegneria spicata,BLK_yes_MJP_no,10,10,RMF,0.695891386,population,Centaurea stoebe,control_alone,0.111694203,0.564896699,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
12,0.059804622,Pseudoroegneria spicata,BLK_yes_MMP_no,10,10,RMF,0.674665901,population,Centaurea stoebe,control_alone,0.111694203,0.564896699,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
13,0.050360825,Pseudoroegneria spicata,BLK_yes_PTP_no,10,10,RMF,0.692420782,population,Centaurea stoebe,control_alone,0.111694203,0.564896699,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
14,0.104000617,Pseudoroegneria spicata,BLK_yes_BLP_no,10,10,RMF,0.660386029,population,Centaurea stoebe,control_alone,0.111694203,0.564896699,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
15,0.079975472,Pseudoroegneria spicata,BLK_yes_HP_no,10,10,RMF,0.618843194,population,Centaurea stoebe,control_alone,0.111694203,0.564896699,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
16,0.083643966,Pseudoroegneria spicata,BLK_yes_LHP_no,10,10,RMF,0.677514901,population,Centaurea stoebe,control_alone,0.111694203,0.564896699,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
17,0.07347452,Pseudoroegneria spicata,BLK_yes_LHP#1_no,10,10,RMF,0.524623839,population,Centaurea stoebe,control_alone,0.111694203,0.564896699,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
18,0.064128957,Pseudoroegneria spicata,BLK_yes_MCLP_no,10,10,RMF,0.723041728,population,Centaurea stoebe,control_alone,0.111694203,0.564896699,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
19,0.033319238,Pseudoroegneria spicata,BLK_yes_MJP_no,10,10,RMF,0.760522934,population,Centaurea stoebe,control_alone,0.111694203,0.564896699,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
20,0.096277895,Pseudoroegneria spicata,BLK_yes_MMP_no,10,10,RMF,0.599649747,population,Centaurea stoebe,control_alone,0.111694203,0.564896699,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
21,0.051952053,Pseudoroegneria spicata,BLK_yes_PTP_no,10,10,RMF,0.73456477,population,Centaurea stoebe,control_alone,0.111694203,0.564896699,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
22,0.036001884,Pseudoroegneria spicata,BLP_yes_LHK_no,10,10,RMF,0.660115977,population,Centaurea stoebe,control_alone,0.06208606,0.510745701,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
23,0.082233063,Pseudoroegneria spicata,BLP_yes_LNFK_no,10,10,RMF,0.692650495,population,Centaurea stoebe,control_alone,0.06208606,0.510745701,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
24,0.085722219,Pseudoroegneria spicata,BLP_yes_MCLK_no,10,10,RMF,0.636187143,population,Centaurea stoebe,control_alone,0.06208606,0.510745701,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
25,0.051992638,Pseudoroegneria spicata,BLP_yes_MMK_no,10,10,RMF,0.514171055,population,Centaurea stoebe,control_alone,0.06208606,0.510745701,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
26,0.047538635,Pseudoroegneria spicata,BLP_yes_PTK_no,10,10,RMF,0.665612806,population,Centaurea stoebe,control_alone,0.06208606,0.510745701,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
27,0.047218033,Pseudoroegneria spicata,BLP_yes_LHK_no,10,10,RMF,0.630814313,population,Centaurea stoebe,control_alone,0.06208606,0.510745701,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
