,No.,Block_No,Focal_species,Species_code,Population_code,Treatment,Comp_trt,Competitor,Time_in_Exp,initial_nonfocal_leaf_count,initial_focal_leaf_count,nonfocal_root_length,nonfocal_shoot_height,nonfocal_root_mass,nonfocal_shoot_mass,focal_root_length,focal_shoot_height,focal_root_mass,focal_shoot_mass,Trt,focal_species,Type,nonfocal_leaf_count,focal_leaf_count,Nonfocal_species,focal_full_mass,nonfocal_full_mass,focal_rmf,nonfocal_rmf,rmf_diff,shoot_height_diff,root_length_diff,leaf_count_diff,pot_mass,abs_rmf_diff,abs_root_length_diff,abs_shoot_height_diff,final_leaf_diff,abs_final_leaf_diff,initial_leaf_diff,abs_initial_leaf_diff
1,4,1,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,43,3,4,5.14781507,2.740840024,4.308110952,5.415717866,4.415880433,1.974081026,5.10881591,9.710818709,MACA-A Interspecific_competition HEVI-A,Heterotheca villosa,Interspecific mixture,NA,NA,NA,3.849627855,3.11830544,0.216777409,0.716973849,-0.500196441,-8.3,-7,NA,224.03,0.500196441,7,8.3,NA,NA,1,1
2,6,1,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,42,6,4,5.744562647,2.302585093,4.430816799,14.82565344,2.738612788,1.029619417,3.224903099,3.728270376,MACA-A Interspecific_competition HEVI-B,Heterotheca villosa,Interspecific mixture,NA,NA,NA,2.636887081,4.388219484,0.427983539,0.276497696,0.151485843,-7.2,-25.5,NA,328.1,0.151485843,25.5,7.2,NA,NA,-2,2
3,7,1,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,43,5,4,4.147288271,2.079441542,2.809402695,8.031189202,4.711687596,1.871802177,5.272570531,10.22252415,MACA-A Intraspecific_competition MACA-A,Dieteria canescens,Monoculture,NA,NA,NA,3.936380912,3.292505413,0.210128496,0.204685573,0.005442922,-1.5,5,NA,213.4,0.005442922,5,1.5,NA,NA,-1,1
4,9,1,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - DICA-C,DICA-C,41,7,5,5.744562647,2.014903021,4.316153891,13.93556601,3.464101615,2.014903021,4.312771731,7.092249291,MACA-A Intraspecific_competition MACA-C,Dieteria canescens,Intraspecific mixture,NA,NA,NA,3.37713207,4.272203167,0.269956459,0.278335191,-0.008378733,0,-21,NA,338,0.008378733,21,0,NA,NA,-2,2
5,13,1,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,42,6,6,5.319774431,2.833213344,4.154184563,12.99230542,4.69041576,1.704748092,4.939635614,7.899367063,MACA-B Interspecific_competition HEVI-B,Heterotheca villosa,Interspecific mixture,NA,NA,NA,3.583155408,4.140832039,0.281105991,0.273978495,0.007127496,-11.5,-6.3,NA,319.3,0.007127496,6.3,11.5,NA,NA,0,0
6,14,1,Dieteria canescens,DICA,DICA-B,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,40,6,6,5.291502622,2.397895273,3.384390263,11.33578405,5.14781507,2.442347035,5.176871642,11.93733639,MACA-B Intraspecific_competition MACA-A,Dieteria canescens,Intraspecific mixture,NA,NA,NA,4.1369322,3.836687935,0.158298878,0.186708861,-0.028409983,0.5,-1.5,NA,327.3,0.028409983,1.5,0.5,NA,NA,0,0
7,15,1,Dieteria canescens,DICA,DICA-B,Intraspecific_competition,Intraspecific - MACA-B,DICA-B,43,4,5,5.385164807,2.351375257,4.107589789,12.66885946,3.741657387,2.397895273,2.34520788,4.049691346,MACA-B Intraspecific_competition MACA-B,Dieteria canescens,Monoculture,NA,NA,NA,2.528813798,4.095906401,0.251141553,0.274740172,-0.023598619,0.5,-15,NA,243.2,0.023598619,15,0.5,NA,NA,1,1
8,17,1,Dieteria canescens,DICA,DICA-B,Monoculture,Monoculture - MACA-B,DICA-B,40,NA,NA,4.582575695,2.079441542,2.370243741,7.334848328,4.062019202,2.302585093,2.93257566,6.268971207,MACA-B Monoculture MACA-B,Dieteria canescens,Monoculture,NA,NA,NA,3.03340516,3.115299676,0.17954071,0.165891473,0.013649237,2,-4.5,NA,112.4,0.013649237,4.5,2,NA,NA,NA,NA
9,18,1,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,40,6,3,5.522680509,2.48490665,3.391147046,10.46422477,4.415880433,1.386294361,1.414213562,4.242640687,DICA-C Interspecific_competition HEVI-A,Heterotheca villosa,Interspecific mixture,NA,NA,NA,2.37841423,3.722280459,0.1,0.213362069,-0.113362069,-8,-11,NA,159.2,0.113362069,11,8,NA,NA,-3,3
10,19,1,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,41,5,6,4.69041576,2.564949357,3.640214282,12.57775815,4.301162634,1.609437912,4.415880433,7.328028384,DICA-C Interspecific_competition HEVI-C,Heterotheca villosa,Interspecific mixture,NA,NA,NA,3.426938695,4.027154384,0.266393443,0.194090678,0.072302765,-8,-3.5,NA,269.5,0.072302765,3.5,8,NA,NA,1,1
